Model,Base Price,EPA range (miles),Dest. Charge,Tax Credit,Effective Price
2024 Audi e-tron GT Prestige AWD,"$114,500 ",249,"$1,495 ",$0 ,"$115,995 "
2025 Porsche Taycan 4S,"$118,500 ",252,"$1,995 ",$0 ,"$120,495 "
2024 Tesla Cybertruck Tri-Motor Cyberbeast Foundation Series,"$119,990 ",301,"$1,995 ",$0 ,"$121,985 "
2025 BMW i7 xDrive60,"$124,200 ",311,"$1,175 ",$0 ,"$125,375 "
2025 Porsche Taycan 4S Cross Turismo,"$125,200 ",272,"$1,995 ",$0 ,"$127,195 "
2025 Cadillac Escalade iQ (estimated starting price and range),"$127,700 ",460,$0 ,$0 ,"$127,700 "
2024 Mercedes-Benz EQS 580 4Matic Sedan,"$127,350 ",345,"$1,150 ",$0 ,"$128,500 "
2024 Mercedes-Benz EQS 580 4Matic SUV,"$127,350 ",330,"$1,150 ",$0 ,"$128,500 "
2024 Audi RS e-tron GT AWD,"$147,100 ",249,"$1,495 ",$0 ,"$148,595 "
2024 Mercedes-AMG EQS 4Matic+ Sedan,"$147,550 ",305,"$1,150 ",$0 ,"$148,700 "
2025 BMW i7 M70,"$168,500 ",285,"$1,175 ",$0 ,"$169,675 "
2025 Porsche Taycan Turbo,"$173,600 ",292,"$1,995 ",$0 ,"$175,595 "
2025 Porsche Taycan Turbo Cross Turismo,"$176,300 ",265,"$1,995 ",$0 ,"$178,295 "
2024 Mercedes-Benz EQS 680 4Matic Maybach SUV,"$179,900 ",321,"$1,150 ",$0 ,"$181,050 "
2025 Porsche Taycan Turbo S,"$209,000 ",266,"$1,995 ",$0 ,"$210,995 "
2025 Porsche Taycan Turbo S Cross Turismo,"$211,700 ",261,"$1,995 ",$0 ,"$213,695 "
2025 Porsche Taycan Turbo GT,"$230,000 ",276,"$1,995 ",$0 ,"$231,995 "
2025 Porsche Taycan Turbo GT Weissach Package,"$230,000 ",269,"$1,995 ",$0 ,"$231,995 "
2025 Lucid Air Sapphire,"$249,000 ",427,"$1,500 ",$0 ,"$250,500 "
2024 Cadillac Celestiq (estimated price and range),"$340,000 ",300,$0 ,$0 ,"$340,000 "
